dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker
66.0,60.88,54.55,7.77,57.2,False,False,False,False,False,False,False,4.0,11.24,11.46,Asset Management,49.1533,48.1194,48.02,55.08,49.6432,28.3176,51.85,11.25,47.93,0.7262121212121212,0.9751125560237054,0.8701888162672476,0.9654897347471557,0.924397299903568,131.87,Financial Services,stockoracle_payloads/raw/raw_cg.json,CG
53.98,31.37,96.18,5.37,65.25,False,False,False,False,False,False,False,4.0,3.58,4.0,Medical - Healthcare Plans,80.91,94.9312,91.8372,101.0912,82.026,71.136,97.4808,-54.52,74.91,1.387736198592071,0.9258435298479792,0.7410140546358139,0.9132470192378026,0.7684590196223255,12.14,Healthcare,stockoracle_payloads/raw/raw_cnc.json,CNC
41.06,9.92,9.92,7.17,,False,False,False,False,True,False,False,4.0,16.04,4.63,REIT - Office,27.6262,15.3884,16.1735,32.4328,27.6262,14.348,30.4914,-6.52,27.74,0.6755966877739892,1.0041192780766084,0.8553069731876372,1.0041192780766084,0.9097647205441535,37.71,Real Estate,stockoracle_payloads/raw/raw_cuz.json,CUZ
147.8,354.7,354.7,5.37,73.91,False,False,False,False,False,False,False,4.0,12.74,10.58,Medical - Healthcare Plans,83.0552,63.2961,63.3635,97.376,80.6124,55.8705,88.247,32.02,62.06,0.4198917456021651,0.747213901116366,0.63732336510023,0.7698567466047408,0.7032533683864608,9.62,Healthcare,stockoracle_payloads/raw/raw_cvs.json,CVS
165.83,141.75,141.75,5.37,82.38,False,False,False,False,False,False,False,4.0,7.46,5.47,Medical - Diagnostics & Research,285.6245,181.9155,179.8542,231.2,276.9473,188.2985,227.46,-1.35,218.32,1.316528975456793,0.7643602001929106,0.9442906574394464,0.788308822653263,0.9598171107007825,22.95,Healthcare,stockoracle_payloads/raw/raw_dhr.json,DHR
8.06,5.77,5.77,5.67,0.35,False,False,False,False,False,False,False,4.0,-14.59,4.0,REIT - Residential,70.6644,83.76,86.3056,79.1056,68.6288,81.84,72.4416,-15.91,70.69,8.77047146401985,1.0003622757711097,0.893615622661354,1.0300340381880493,0.9758205230144006,33.99,Real Estate,stockoracle_payloads/raw/raw_eqr.json,EQR
17.4,23.2,23.2,5.37,,False,False,False,False,True,False,False,4.0,-17.94,4.0,REIT - Residential,1501.3448,469.4922,470.47,318.01,271.9384,452.1474,299.2185,-4.19,262.79,15.102873563218393,0.17503640735958856,0.8263576617087514,0.9663585576733555,0.8782545196904604,38.21,Real Estate,stockoracle_payloads/raw/raw_ess.json,ESS
1088.75,742.31,742.31,7.77,734.5,False,False,False,False,False,True,False,4.0,15.63,35.76,Financial - Capital Markets,,0.0,228.2123,209.1351,0.0,0.0,188.1376,29.06,228.23,0.20962571756601606,,1.091304137851561,,1.2131014746653512,48.69,Financial Services,stockoracle_payloads/raw/raw_evr.json,EVR
212.16,390.43,390.43,5.97,108.36,False,False,False,False,False,False,False,4.0,15.14,15.0,Banks - Regional,41.2566,39.5975,39.4627,50.0472,42.427,39.2605,44.8836,1.24,41.11,0.1937688536953243,0.9964466291453974,0.8214245752010103,0.9689584462724209,0.915924747569268,23.62,Financial Services,stockoracle_payloads/raw/raw_fitb.json,FITB
,,,6.57,,True,False,True,False,True,False,False,4.0,-11.72,4.0,REIT - Office,30.96,20.7355,21.1816,32.193,29.67,20.001,29.6205,-7.59,30.98,,1.0006459948320414,0.9623210014599448,1.0441523424334345,1.0458972670954239,24.05,Real Estate,stockoracle_payloads/raw/raw_hiw.json,HIW
224.51,195.26,195.26,6.57,130.49,False,False,False,False,False,False,False,4.0,14.59,14.59,Asset Management,167.5984,140.4897,146.6488,124.8122,156.7856,138.876,118.203,-12.67,130.49,0.5812213264442564,0.7785873850824352,1.0454907452957323,0.8322830668122584,1.103948292344526,59.41,Financial Services,stockoracle_payloads/raw/raw_hlne.json,HLNE
11.77,3.9,3.9,7.17,1.93,False,False,False,False,False,False,False,4.0,-7.49,4.0,REIT - Hotel & Motel,17.6778,16.112,-36.0525,19.1296,17.6778,14.155,16.0552,-9.49,17.7,1.5038232795242141,1.001255812374843,0.9252676480428237,1.001255812374843,1.1024465593701729,25.18,Real Estate,stockoracle_payloads/raw/raw_hst.json,HST
289.17,171.8,171.8,7.77,315.68,False,False,False,False,False,False,False,4.0,14.04,12.25,Medical - Diagnostics & Research,885.794,679.5728,670.5307,622.6265,859.404,641.9675,588.7285,64.32,383.1,1.324826226787011,0.43249333366448633,0.6152966505601674,0.44577404806121457,0.6507244001267137,40.2,Healthcare,stockoracle_payloads/raw/raw_idxx.json,IDXX
